Experiment,Location,Community,Kingdom,Common name,S,RYT,MRY,ECS, TO,CV_K,RSE,alpha_ij,a_ij,alpha_ji,a_ji,a_mean,sd_a
Field/BIODEPTH,Portugal,Plants,Plantae,Plants,14,1.79,0.13,3.03,1.02,0.91,0.64,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,Switzerland,Plants,Plantae,Plants,10,1.92,0.19,2.13,0.78,0.75,0.8,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,Greece,Plants,Plantae,Plants,7,1.58,0.23,1.5,0.81,0.41,0.82,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,Ireland,Plants,Plantae,Plants,10,1.45,0.14,2.24,1.11,0.63,0.7,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,Sweden,Plants,Plantae,Plants,12,1.51,0.13,2.8,1.06,0.92,0.71,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,"UK, Sheffield",Plants,Plantae,Plants,12,1.33,0.11,2.01,1.03,0.52,0.75,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,"UK, Silwood",Plants,Plantae,Plants,11,1.44,0.13,1.68,0.86,0.6,0.72,NA,NA,NA,NA,NA,NA
Field,Cedar Creek,Plants,Plantae,Plants,17,4.06,0.24,2.18,0.64,0.88,0.83,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,4,3.84,0.96,7.75,3.43,0.89,0.41,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,6,2.25,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,6,2.75,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field/1993,"San Jose, Cal., USA",Plants,Plantae,Plants,4,1.53,0.38,1.53,1.53,0,0.79,NA,NA,NA,NA,NA,NA
Field/1998,"San Jose, Cal., USA",Plants,Plantae,Plants,4,2.34,0.58,2.34,2.34,0,0.86,NA,NA,NA,NA,NA,NA
Field/1999,"San Jose, Cal., USA",Plants,Plantae,Plants,4,2.04,0.51,2.04,2.04,0,0.87,NA,NA,NA,NA,NA,NA
Field,"Jena, Germ.",Plants,Plantae,Plants,9,1.74,0.19,2.29,1.14,0.7,0.88,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,16,9.58,0.6,7.39,3.03,0.75,0.75,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,3,0.99,0.33,1.13,0.8,0.64,0.96,NA,NA,NA,NA,NA,NA
Field/A-WC-IBF,"Iowa, USA",Plants,Plantae,Plants,3,1.322165076,0.440721692,2.075121951,1.282097649,0.69,0.07,,,,,-1.28,1.81
Field/A-OG-SW,"Iowa, USA",Plants,Plantae,Plants,3,1.963475819,0.65449194,1.487490523,1.182640145,0.33,0.78,,,,,-0.3,0.76
Field/A-SW-EG,"Iowa, USA",Plants,Plantae,Plants,3,1.181392503,0.393797501,1.445221445,1.121157324,0.38,0.62,,,,,-0.13,1.09
Field/WC-OG-IW,"Iowa, USA",Plants,Plantae,Plants,3,1.951775546,0.650591849,1.680238332,0.874418605,0.85,0.75,,,,,-0.1,0.3
Field/A-OG-IW,"Iowa, USA",Plants,Plantae,Plants,3,1.98883729,0.662945763,1.458575241,1.110404615,0.39,0.9,,,,,-0.2,0.72
Field/IBF-SW-EG,"Iowa, USA",Plants,Plantae,Plants,3,1.16,0.386666667,1.446218171,1.098233461,0.33,0.45,,,,,0.49,0.17
Field/IBF-OG-IW,"Iowa, USA",Plants,Plantae,Plants,3,1.674312473,0.558104158,1.262068966,0.851162791,0.44,0.74,,,,,0.23,0.39
Field/IBF-OG-SW,"Iowa, USA",Plants,Plantae,Plants,3,1.409225388,0.469741796,1.120764553,0.875763747,0.28,0.72,,,,,0.13,0.48
Field/IBF-IW-EG,"Iowa, USA",Plants,Plantae,Plants,3,1.203320116,0.401106705,1.262068966,0.851162791,0.25,0.32,,,,,0.54,0.2
Field/A-WC-SW-EG,"Iowa, USA",Plants,Plantae,Plants,4,1.178613427,0.294653357,1.735158621,1.078044457,0.631886303,0.35,,,,,-2.27,3.68
Field/A-IBF-OG-IW,"Iowa, USA",Plants,Plantae,Plants,4,1.997480736,0.499370184,1.510547342,1.087762287,0.357394175,0.74,,,,,0.01,0.5
Field/WC-IBF-OG-IW,"Iowa, USA",Plants,Plantae,Plants,4,2.053316482,0.51332912,1.899725531,1.025108171,0.669350133,0.62,,,,,-0.51,1.11
Field/WC-IBF-SW-EG,"Iowa, USA",Plants,Plantae,Plants,4,1.100383254,0.275095814,0.787852149,0.48374613,0.581299126,0.73,,,,,-2.59,3.74
Field/all seven species,"Iowa, USA",Plants,Plantae,Plants,7,2.74,0.39,2.01,1.17,0.52,0.63,,,,,-0.84,4.36
Field/N50,"Zurich, Switzerland",Plants,Plantae,Plants,4,1.76,0.44,1.58,1.22,0.27,0.92,NA,NA,NA,NA,NA,NA
Field/N150,"Zurich, Switzerland",Plants,Plantae,Plants,4,1.58,0.4,1.53,1.33,0.12,0.89,NA,NA,NA,NA,NA,NA
Field/N450,"Zurich, Switzerland",Plants,Plantae,Plants,4,1.38,0.35,1.43,1.27,0.1,0.83,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,6,3.89,0.65,1.35,0.69,NA,NA,NA,NA,NA,NA,NA,NA
Field/Low sand,US Pacific Northwest ,Plants,Plantae,Plants,3,4.13,1.38,4.12,2.94,0.47,0.98,NA,NA,NA,NA,NA,NA
Field/Mid sand,US Pacific Northwest ,Plants,Plantae,Plants,3,5.61,1.87,5.8,5.37,0.1,0.92,NA,NA,NA,NA,NA,NA
Field/High sand,US Pacific Northwest ,Plants,Plantae,Plants,3,4.23,1.41,4.47,2.88,0.47,0.98,NA,NA,NA,NA,NA,NA
Microcosm,,Protists,Fungus,Yeast,2,1.19,0.6,0.7,1.15,0.92,1,3.27,0.69,0.14,0.66,0.68,0.02
Microcosm,,Protists,Fungus,Yeast,2,0.98,0.49,0.84,1.24,0.68,0.75,3.14,1.11,0.36,1.03,1.07,0.06
Microcosm,,Protists,Protist,Ciliate,4,1.08,0.27,1.27,0.69,0.59,0.4,,,,,0.23,0.93
Microcosm,,Protists,Protist,Ciliate,2,1,0.5,0.99,0.92,0.11,0.98,NA,NA,NA,NA,NA,NA
Microcosm,,Protists,Protist,Ciliate,2,1.66,0.83,1.67,1.63,0.03,0.99,NA,NA,NA,NA,NA,NA
Microcosm,,Protists,Protist,Protist and rotifer,11,7.59,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
