ord1,ord2,ord3,con,cor,ord1_strength,indirect,case,ND_slope,ND_intercept,ND_var_slope,ND_var_intercept,FD_slope,FD_intercept,FD_var_slope,FD_var_intercept,a_slope,a_intercept,n_com_2,n_com_3,n_com_4,n_com_5,n_com_6
"neg, ","neg, ","abs, ","m, ","nul, ","weak, ","abs, ","neg, neg, abs, nul, m, weak, abs, ",-0.006555765645949548,1.1090924674023184,-0.012034260366581508,0.10643333389633206,-1.1749006395505515,2.0939962947801694,0.5318077010386121,0.4256025776623731,-0.004898463595104187,0.11434592893067322,98.0,97.0,90.0,77.0,19.0
"neg, ","neg, ","abs, ","m, ","nul, ","weak, ","pre, ","neg, neg, abs, nul, m, weak, pre, ",-0.0034465443368064124,1.1020962287592064,-0.013421497130981242,0.11155207376303494,-2.1339997380361657,4.414757162851892,1.0167481475500295,-0.8530499165065475,-0.005457101953268717,0.11566784320969532,98.0,97.0,83.0,51.0,14.0
"neg, ","neg, ","abs, ","h, ","pos, ","strong, ","abs, ","neg, neg, abs, pos, h, strong, abs, ",-0.03787988781236989,1.3822309189334179,,,-0.9647052738541355,1.9410312219440011,,,-0.01954772330443416,0.3408266490302217,100.0,84.0,21.0,1.0,0.0
"neg, ","neg, ","abs, ","h, ","pos, ","strong, ","pre, ","neg, neg, abs, pos, h, strong, pre, ",-0.04578679025535917,1.399129637074964,,,-2.5507922306999498,5.3089627237494454,,,-0.017855261689943825,0.33679465439112743,100.0,83.0,18.0,1.0,0.0
"neg, ","neg, ","abs, ","h, ","pos, ","weak, ","abs, ","neg, neg, abs, pos, h, weak, abs, ",-0.0046767835819732356,1.1317027287928527,-0.03072432427897831,0.21285111232620246,-0.9363359235362049,1.8974734911378928,0.1753123596834924,-0.3914540572633167,-0.0005579199207567271,0.11734102210044856,100.0,100.0,100.0,79.0,19.0
"neg, ","neg, ","abs, ","h, ","pos, ","weak, ","pre, ","neg, neg, abs, pos, h, weak, pre, ",-0.002980762734746831,1.1272058292673437,-0.02697014018394124,0.20110515162828851,-1.7322521759882479,3.695230623933672,0.8306895972663991,-1.958744939449133,-0.0007902121343596474,0.11795245368927668,100.0,100.0,98.0,70.0,15.0
"neg, ","neg, ","abs, ","l, ","pos, ","strong, ","abs, ","neg, neg, abs, pos, l, strong, abs, ",-0.062385607354844254,1.3745687027437274,,,-0.8735416649598166,1.8038848201194324,,,-0.030278220541527998,0.3123772956843137,100.0,70.0,33.0,8.0,0.0
"neg, ","neg, ","abs, ","l, ","pos, ","strong, ","pre, ","neg, neg, abs, pos, l, strong, pre, ",-0.06934743036292214,1.3905025958305048,,,-1.6491499066569593,3.4156143910536994,,,-0.03245246258257552,0.31766839058821106,100.0,70.0,31.0,5.0,0.0
"neg, ","neg, ","abs, ","l, ","pos, ","weak, ","abs, ","neg, neg, abs, pos, l, weak, abs, ",-0.016926343939503385,1.1576567366173678,-0.029017978350843257,0.21699766711732582,-1.0397081653479483,2.3201159721933076,0.4288265080810762,-0.18208085896116422,-0.013387169152097068,0.13650102826195393,100.0,98.0,99.0,80.0,27.0
"neg, ","neg, ","abs, ","l, ","pos, ","weak, ","pre, ","neg, neg, abs, pos, l, weak, pre, ",-0.016188693019693542,1.156406295316537,-0.02919120066136567,0.21964526522622135,-1.644939450396706,3.726351602695938,1.0991452445179715,-2.0001095361699535,-0.013836591606676616,0.13797053250101096,100.0,98.0,97.0,78.0,21.0
"neg, ","neg, ","abs, ","m, ","pos, ","strong, ","abs, ","neg, neg, abs, pos, m, strong, abs, ",-0.06644317165654458,1.4322443046300413,,,-0.8391478389065956,1.7641630955775867,,,-0.0347667854235467,0.35214139396902255,100.0,75.0,21.0,3.0,0.0
"neg, ","neg, ","abs, ","m, ","pos, ","strong, ","pre, ","neg, neg, abs, pos, m, strong, pre, ",-0.07018497636146127,1.4410487630512285,,,-1.7309071609587072,3.59862299466839,,,-0.03814990456446334,0.3596205500774858,100.0,75.0,20.0,3.0,0.0
